,spin,model,strength,polar angle,azimuthal angle
547,0.9,ring,1e-08,0.6283185307179586,0
548,0.99,ring,1e-08,0.6283185307179586,0
549,0.001,ring,1e-07,0.6283185307179586,0
550,0.1,ring,1e-07,0.6283185307179586,0
551,0.2,ring,1e-07,0.6283185307179586,0
552,0.3,ring,1e-07,0.6283185307179586,0
553,0.4,ring,1e-07,0.6283185307179586,0
554,0.5,ring,1e-07,0.6283185307179586,0
555,0.75,ring,1e-07,0.6283185307179586,0
556,0.9,ring,1e-07,0.6283185307179586,0
557,0.99,ring,1e-07,0.6283185307179586,0
558,0.001,ring,1e-06,0.6283185307179586,0
559,0.1,ring,1e-06,0.6283185307179586,0
560,0.2,ring,1e-06,0.6283185307179586,0
561,0.3,ring,1e-06,0.6283185307179586,0
562,0.4,ring,1e-06,0.6283185307179586,0
563,0.5,ring,1e-06,0.6283185307179586,0
564,0.75,ring,1e-06,0.6283185307179586,0
565,0.9,ring,1e-06,0.6283185307179586,0
566,0.99,ring,1e-06,0.6283185307179586,0
567,0.001,ring,1e-12,0.9424777960769379,0
568,0.1,ring,1e-12,0.9424777960769379,0
569,0.2,ring,1e-12,0.9424777960769379,0
570,0.3,ring,1e-12,0.9424777960769379,0
571,0.4,ring,1e-12,0.9424777960769379,0
572,0.5,ring,1e-12,0.9424777960769379,0
573,0.75,ring,1e-12,0.9424777960769379,0
574,0.9,ring,1e-12,0.9424777960769379,0
575,0.99,ring,1e-12,0.9424777960769379,0
576,0.001,ring,1e-11,0.9424777960769379,0
577,0.1,ring,1e-11,0.9424777960769379,0
578,0.2,ring,1e-11,0.9424777960769379,0
579,0.3,ring,1e-11,0.9424777960769379,0
580,0.4,ring,1e-11,0.9424777960769379,0
581,0.5,ring,1e-11,0.9424777960769379,0
582,0.75,ring,1e-11,0.9424777960769379,0
583,0.9,ring,1e-11,0.9424777960769379,0
584,0.99,ring,1e-11,0.9424777960769379,0
585,0.001,ring,1e-10,0.9424777960769379,0
586,0.1,ring,1e-10,0.9424777960769379,0
587,0.2,ring,1e-10,0.9424777960769379,0
588,0.3,ring,1e-10,0.9424777960769379,0
589,0.4,ring,1e-10,0.9424777960769379,0
590,0.5,ring,1e-10,0.9424777960769379,0
591,0.75,ring,1e-10,0.9424777960769379,0
592,0.9,ring,1e-10,0.9424777960769379,0
593,0.99,ring,1e-10,0.9424777960769379,0
